LFM_PROFILE | cache_r_l11 (reshaped) (view) (view) | SCALE | 9
LFM_PROFILE | cache_r_l11 (reshaped) | GET_ROWS | 7
LFM_PROFILE | cache_r_l11 (reshaped) | GET_ROWS | 0
LFM_PROFILE | cache_r_l11 (view) (copy of ) | CPY | 0
LFM_PROFILE | model.layers.{}.self_attn.out_proj-10 | MUL_MAT | 1914
LFM_PROFILE | node_339 | ADD | 12
LFM_PROFILE | norm-10 | RMS_NORM | 37
LFM_PROFILE | model.layers.{}.ffn_out-10 | MUL | 9
LFM_PROFILE | ffn_gate-10 | MUL_MAT | 7734
LFM_PROFILE | ffn_up-10 | MUL_MAT | 10653
LFM_PROFILE | ffn_swiglu-10 | GLU | 166
LFM_PROFILE | blk.10.ffn_down.weight | MUL_MAT | 16079
LFM_PROFILE | node_375 | ADD | 12
LFM_PROFILE | norm-11 | RMS_NORM | 24
LFM_PROFILE | model.layers.{}.operator_norm-11 | MUL | 8
LFM_PROFILE | model.layers.{}.conv.in_proj-11 | MUL_MAT | 8287
LFM_PROFILE | model.layers.{}.conv.in_proj-11 (view) | MUL | 10
LFM_PROFILE | node_369 (reshaped) | CONCAT | 73
LFM_PROFILE | cache_r_l11 (view) (copy of  (view)) | CPY | 3
LFM_PROFILE | model.layers.{}.conv.conv-11 | SSM_CONV | 6
LFM_PROFILE | model.layers.{}.conv.in_proj-11 (view) | MUL | 8
LFM_PROFILE | model.layers.{}.conv.out_proj-11 | MUL_MAT | 2337
LFM_PROFILE | node_382 | ADD | 9
LFM_PROFILE | norm-11 | RMS_NORM | 23
LFM_PROFILE | model.layers.{}.ffn_out-11 | MUL | 6
LFM_PROFILE | ffn_gate-11 | MUL_MAT | 10712
LFM_PROFILE | ffn_up-11 | MUL_MAT | 10796
LFM_PROFILE | ffn_swiglu-11 | GLU | 172
LFM_PROFILE | blk.11.ffn_down.weight | MUL_MAT | 10479
LFM_PROFILE | node_400 | ADD | 11
LFM_PROFILE | norm-12 | RMS_NORM | 24
LFM_PROFILE | model.layers.{}.operator_norm-12 | MUL | 8
LFM_PROFILE | model.layers.{}.self_attn.q_proj-12 | MUL_MAT | 2819
LFM_PROFILE | norm-12 | RMS_NORM | 4
LFM_PROFILE | model.layers.{}.self_attn.q_layernorm-12 | MUL | 1
LFM_PROFILE | model.layers.{}.self_attn.q_layernorm-12 | ROPE | 5
LFM_PROFILE | model.layers.{}.self_attn.v_proj-12 | MUL_MAT | 708
LFM_PROFILE | model.layers.{}.self_attn.k_proj-12 | MUL_MAT | 796
LFM_PROFILE | norm-12 | RMS_NORM | 2
LFM_PROFILE | model.layers.{}.self_attn.k_layernorm-12 | MUL | 1
LFM_PROFILE | model.layers.{}.self_attn.k_layernorm-12 | ROPE | 4
LFM_PROFILE | cache_k_l12 (view) | SET_ROWS | 12
LFM_PROFILE | cache_v_l12 (view) | SET_ROWS | 12
LFM_PROFILE | __fattn__-12 | FLASH_ATTN_EXT | 392
LFM_PROFILE | cache_r_l13 (reshaped) (view) (view) | SCALE | 8
LFM_PROFILE | cache_r_l13 (reshaped) | GET_ROWS | 5
LFM_PROFILE | cache_r_l13 (reshaped) | GET_ROWS | 0
LFM_PROFILE | cache_r_l13 (view) (copy of ) | CPY | 0
LFM_PROFILE | model.layers.{}.self_attn.out_proj-12 | MUL_MAT | 2750
LFM_PROFILE | node_407 | ADD | 10
LFM_PROFILE | norm-12 | RMS_NORM | 23
LFM_PROFILE | model.layers.{}.ffn_out-12 | MUL | 6
LFM_PROFILE | ffn_gate-12 | MUL_MAT | 10684
LFM_PROFILE | ffn_up-12 | MUL_MAT | 11012
LFM_PROFILE | ffn_swiglu-12 | GLU | 191
LFM_PROFILE | blk.12.ffn_down.weight | MUL_MAT | 11642
LFM_PROFILE | node_443 | ADD | 10
LFM_PROFILE | norm-13 | RMS_NORM | 23
LFM_PROFILE | model.layers.{}.operator_norm-13 | MUL | 5
LFM_PROFILE | model.layers.{}.conv.in_proj-13 | MUL_MAT | 8046
LFM_PROFILE | model.layers.{}.conv.in_proj-13 (view) | MUL | 9
LFM_PROFILE | node_437 (reshaped) | CONCAT | 73
LFM_PROFILE | cache_r_l13 (view) (copy of  (view)) | CPY | 2
LFM_PROFILE | model.layers.{}.conv.conv-13 | SSM_CONV | 6
LFM_PROFILE | model.layers.{}.conv.in_proj-13 (view) | MUL | 7
LFM_PROFILE | model.layers.{}.conv.out_proj-13 | MUL_MAT | 2822
LFM_PROFILE | node_450 | ADD | 10
LFM_PROFILE | norm-13 | RMS_NORM | 23
LFM_PROFILE | model.layers.{}.ffn_out-13 | MUL | 5
LFM_PROFILE | ffn_gate-13 | MUL_MAT | 10544
LFM_PROFILE | ffn_up-13 | MUL_MAT | 7872
LFM_PROFILE | ffn_swiglu-13 | GLU | 174
LFM_PROFILE | blk.13.ffn_down.weight | MUL_MAT | 18318
LFM_PROFILE | node_468 | ADD | 9
LFM_PROFILE | norm-14 | RMS_NORM | 23
LFM_PROFILE | model.layers.{}.operator_norm-14 | MUL | 5
LFM_PROFILE | model.layers.{}.self_attn.q_proj-14 | MUL_MAT | 2882
LFM_PROFILE | norm-14 | RMS_NORM | 4
LFM_PROFILE | model.layers.{}.self_attn.q_layernorm-14 | MUL | 1
LFM_PROFILE | model.layers.{}.self_attn.q_layernorm-14 | ROPE | 5
LFM_PROFILE | model.layers.{}.self_attn.v_proj-14 | MUL_MAT | 1181
LFM_PROFILE | model.layers.{}.self_attn.k_proj-14 | MUL_MAT | 816
LFM_PROFILE | norm-14 | RMS_NORM | 2
LFM_PROFILE | model.layers.{}.self_attn.k_layernorm-14 | MUL | 1
LFM_PROFILE | model.layers.{}.self_attn.k_layernorm-14 | ROPE | 4
LFM_PROFILE | cache_k_l14 (view) | SET_ROWS | 12
LFM_PROFILE | cache_v_l14 (view) | SET_ROWS | 13
LFM_PROFILE | __fattn__-14 | FLASH_ATTN_EXT | 303
LFM_PROFILE | cache_r_l15 (reshaped) (view) (view) | SCALE | 10
LFM_PROFILE | cache_r_l15 (reshaped) | GET_ROWS | 5
LFM_PROFILE | cache_r_l15 (reshaped) | GET_ROWS | 0
LFM_PROFILE | cache_r_l15 (view) (copy of ) | CPY | 0
LFM_PROFILE | model.layers.{}.self_attn.out_proj-14 | MUL_MAT | 2882
LFM_PROFILE | node_475 | ADD | 10
LFM_PROFILE | norm-14 | RMS_NORM | 23
